name
A. A. Milne
A. E. Douglass
A. J. Foyt
A. J. P. Taylor
Aamir Khan
Aaron Burr
Aaron Copland
Aaron Paul
Aaron Rodgers
Abby Wambach
Abebe Bikila
Abel Tasman
Abigail Adams
Abraham Gesner
Abraham Lincoln
Abu Bakr al-Baghdadi
Ada Lovelace
Adam Clayton
Adam Clayton Powell Jr.
Adam Driver
Adam Sandler
Adam Silver
Adam Smith
Adam Yauch
Adele
Adlai Stevenson II
Adolf Eichmann
Adolf Hitler
Adrian Quist
Adrien Brody
Adut Akech
Afonso de Albuquerque
Aga Khan III
Agatha Christie
Agnes Moorehead
Agnetha Fältskog
Agrippina the Elder
Agrippina the Younger
Agustín de Iturbide
Ai Weiwei
Aishwarya Rai
Ajay Devgan
Akbar
Akihito
Akio Toyoda
Akira Kurosawa
Al Capone
Al Davis
Al Geiberger
Al Gore
Al López
Al Michaels
Al Pacino
Al Sharpton
Al Unser
Al Unser Jr.
Alain Prost
Alan Alda
Alan Davies
Alan Greenspan
Alan Kay
Alan Menken
Alan Paton
Alan Rickman
Alan Sugar
Alan Turing
Alanis Morissette
Albert Anastasia
Albert B. Fall
Albert Camus
Albert Einstein
Albert Frederick
Albert Kahn
Albert Kesselring
Albert of Prussia
Albert Sabin
Albert Speer
Albert Stevens
Albert Uderzo
Alberto Ascari
Alberto Fujimori
Albrecht von Wallenstein
Aldo Moro
Aldous Huxley
Aldrich Ames
Alec Baldwin
Alec Douglas-Home
Alec Guinness
Aleksandr Solzhenitsyn
Alessandro Volta
Alex Haley
Alex Morgan
Alex Trebek
Alexander Calder
Alexander Cartwright
Alexander Dubček
Alexander Fleming
Alexander Graham Bell
Alexander H. Stephens
Alexander Hamilton
Alexander II
Alexander Lukashenko
Alexander Mackenzie
Alexander Nevsky
Alexander Patch
Alexander Pope
Alexander the Great
Alexander von Humboldt
Alexander Wang
Alexander Zverev
Alexandre Bilodeau
Alexandre Dumas
Alexandria Ocasio-Cortez
Alexei Navalny
Alexei Nikolaevich
Alexey Leonov
Alexis Tsipras
Alfonso Cuarón
Alfonso V of Aragon
Alfred Carlton Gilbert
Alfred Dreyfus
Alfred Hitchcock
Alfred J. Gross
Alfred Jodl
Alfred Nobel
Alfred Russel Wallace
Alfred Stieglitz
Alfred Tennyson
Alfred the Great
Alfred Wegener
Alfredo Di Stéfano
Ali Hosseini Khamenei
Ali Landry
Alice Cooper
Alice Marble
Alice Mary Robertson
Alice Paul
Alice Walker
Alicia Keys
Alison Krauss
Allan Border
Allen Doyle
Allen Ginsberg
Althea Gibson
Alyssa Milano
Amadeo Giannini
Amartya Sen
Ambrose Bierce
Ambrose Burnside
Amedeo Avogadro
Amelia Earhart
Amerigo Vespucci
Amitabh Bachchan
Amon Göth
Amy Johnson
Amy Poehler
Amy Schumer
Amy Winehouse
Anastasia Nikolaevna
Anatoly Karpov
Anders Celsius
Andre Agassi
André Breton
Andre Dawson
André Gide
André Malraux
André Michelin
André the Giant
Andrea Bocelli
Andreas Baader
Andrei Sakharov
Andrew Carnegie
Andrew Cuomo
Andrew Garfield
Andrew Grove
Andrew Jackson
Andrew Johnson
Andrew Lloyd Webber
Andrew Mellon
Andy Gibb
Andy Murray
Andy Roddick
Andy Warhol
Andy Williams
Ang Lee
Ángel Cordero Jr.
Angela Lansbury
Angela Merkel
Angelina Jolie
Anita Ekberg
Anita Sarkeesian
Anjelica Huston
Anke Huber
Ann Lee
Anna Atkins
Anna Kournikova
Anna Magnani
Anna Wintour
Anne Bancroft
Anne Boleyn
Anne Bonny
Anne Frank
Anne Hathaway
Anne Heche
Anne McCaffrey
Anne Morrow Lindbergh
Anne of Cleves
Anne Rice
Anne Stuart
Annette Bening
Annie Jump Cannon
Annie Leibovitz
Annie Oakley
Annika Sörenstam
Ansel Adams
Ante Pavelić
Anthony Burgess
Anthony Eden
Anthony Fauci
Anthony Hopkins
Anthony Kennedy
Anthony Perkins
Anthony Wayne
Anton Bruckner
Anton Chekhov
Antoni Gaudi
Antoninus Pius
Antonio Banderas
Antonio Gramsci
António Guterres
Antonio Salieri
Antonio Segni
Antonio Vivaldi
Anwar Sadat
Arantxa Sánchez Vicario
Archer John Porter Martin
Archibald Primrose
Archie Moore
Archimedes
Ard Schenk
Aretha Franklin
Ariana Grande
Arianna Huffington
Aristide Briand
Aristotle
Arna Bontemps
Arnold J. Toynbee
Arnold Palmer
Arnold Rothstein
Arnold Schoenberg
Arnold Schwarzenegger
Arnoldo Aleman
Arsenio Hall
Art Carney
Art Modell
Arthur Ashe
Arthur Balfour
Arthur C. Clarke
Arthur Conan Doyle
Arthur Godfrey
Arthur Griffith
Arthur Honegger
Arthur II
Arthur Leonard Schawlow
Arthur Meighen
Arthur Miller
Arthur Phillip
Arthur Rimbaud
Arthur Wellesley
Ashens
Ashley Cooper
Ashley Olsen
Ashley Tisdale
Ashton Kutcher
Atahualpa
Atal Bihari Vajpayee
Audra McDonald
Audrey Hepburn
August Krogh
August Wilson
Auguste Rodin
Augusto Pinochet
Augustus Caesar
Augustus FitzRoy
Aung San
Aung San Suu Kyi
Aurelia Cotta
